solution,n, time
Randomized Incremental, 10500,45967.35471089681
Randomized Incremental,11200,50021.10901673635
Randomized Incremental,11900,52781.09327952067
Randomized Incremental,12600,61011.53961817423
Randomized Incremental,13300,67932.73549874623
Randomized Incremental,14000,65970.55702209473
Randomized Incremental,1400,3712.87674109141
Randomized Incremental,14700,73893.92586549123
Randomized Incremental,15400,82204.98348871867
Randomized Incremental,16100,88989.11166985829
Randomized Incremental,16800,92760.12674172719
Randomized Incremental,17500,95931.09405040741
Randomized Incremental,18200,110364.89793459575
Randomized Incremental,18900,114645.10848522186
Randomized Incremental,19600,120623.10856978099
Randomized Incremental,20300,123326.96710427602
Randomized Incremental,21000,128900.37585894267
Randomized Incremental,2100,5762.171522776286
Randomized Incremental,21700,153007.9398949941
Randomized Incremental,22400,152168.30099423727
Randomized Incremental,2800,8091.543173789978
Randomized Incremental,3500,10549.3199189504
Randomized Incremental,4200,12803.598125775656
Randomized Incremental,4900,15480.750950177511
Randomized Incremental,5600,18773.910061518352
Randomized Incremental,6300,21922.71523475647
Randomized Incremental,7000,24688.248014450073
Randomized Incremental,700,1755.8198690414429
Randomized Incremental,7700,28746.84005578359
Randomized Incremental,8400,32545.786062876385
Randomized Incremental,9100,35785.6915473938
Randomized Incremental,9800,41352.38335132599
Planesweep,10500,2004.6598275502522
Planesweep,11200,2140.263835589091
Planesweep,11900,2320.338280995687
Planesweep,12600,2515.69402217865
Planesweep,13300,2572.882111867269
Planesweep,14000,2595.1359272003174
Planesweep,1400,211.91746393839517
Planesweep,14700,2749.738311767578
Planesweep,15400,2875.2816200256348
Planesweep,16100,3027.102200190226
Planesweep,16800,3157.393232981364
Planesweep,17500,3339.9839878082275
Planesweep,18200,3473.1436570485434
Planesweep,18900,3592.3820972442627
Planesweep,19600,3741.690731048584
Planesweep,20300,3829.1744152704873
Planesweep,21000,4099.220085144043
Planesweep,2100,331.9432497024536
Planesweep,21700,4162.095125516255
Planesweep,22400,4312.439290682475
Planesweep,2800,444.3398396174113
Planesweep,3500,585.414449373881
Planesweep,4200,703.0353705088297
Planesweep,4900,820.7465728123983
Planesweep,5600,959.7262700398763
Planesweep,6300,1102.7495702107747
Planesweep,7000,1220.706566174825
Planesweep,700,96.50514920552571
Planesweep,7700,1354.240870475769
Planesweep,8400,1475.9053627649944
Planesweep,9100,1606.5247217814128
Planesweep,9800,1778.2800277074177